voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;
2950;3 ms;97;48271;0;18;16516;14800;12082;4776;48174;4352;3212;29642;1674;12082;4776;48174;270;222;30092;1224;12082;4776;48174;434;288;30362;954;12082;4776;48174;356;236;30632;684;12082;4776;48174;136;88;30722;594;12082;4776;48174;186;138;30812;504;12082;4776;48174;220;172;30902;414;12082;4776;48174;170;122;30992;324;12082;4776;48174;136;88;30992;324;12082;4776;48174;137;89;
2980;3 ms;97;48271;0;18;20248;14273;12514;1139;48174;3611;2656;32847;1674;12514;1139;48174;258;210;33297;1224;12514;1139;48174;430;284;33567;954;12514;1139;48174;344;224;33837;684;12514;1139;48174;252;204;33927;594;12514;1139;48174;280;184;34017;504;12514;1139;48174;254;164;34107;414;12514;1139;48174;162;114;34197;324;12514;1139;48174;128;80;34197;324;12514;1139;48174;128;80;
3010;3 ms;97;48271;0;17;19912;13650;13462;1150;48174;3787;2836;31981;1581;13462;1150;48174;520;344;32406;1156;13462;1150;48174;334;184;32661;901;13462;1150;48174;128;80;32916;646;13462;1150;48174;366;260;33001;561;13462;1150;48174;392;292;33086;476;13462;1150;48174;172;124;33171;391;13462;1150;48174;128;80;33256;306;13462;1150;48174;128;80;33256;306;13462;1150;48174;128;80;
3040;3 ms;97;48271;0;17;19954;13468;13640;1112;48174;3407;2464;31841;1581;13640;1112;48174;778;470;32266;1156;13640;1112;48174;434;284;32521;901;13640;1112;48174;124;76;32776;646;13640;1112;48174;124;76;32861;561;13640;1112;48174;124;76;32946;476;13640;1112;48174;124;76;33031;391;13640;1112;48174;214;166;33116;306;13640;1112;48174;284;208;33116;306;13640;1112;48174;170;100;
3070;3 ms;97;48271;0;16;19963;13379;14012;820;48174;2700;2288;31761;1581;14012;820;48174;386;210;32186;1156;14012;820;48174;334;184;32441;901;14012;820;48174;198;150;32696;646;14012;820;48174;488;324;32781;561;14012;820;48174;492;292;32866;476;14012;820;48174;214;124;32951;391;14012;820;48174;128;80;33042;300;14012;820;48174;158;110;33054;288;14012;820;48174;136;88;
3100;3 ms;97;48271;0;16;19806;12754;14356;1258;48174;3029;1912;31072;1488;14356;1258;48174;776;600;31472;1088;14356;1258;48174;538;388;31712;848;14356;1258;48174;194;146;31952;608;14356;1258;48174;248;200;32032;528;14356;1258;48174;228;180;32112;448;14356;1258;48174;208;160;32192;368;14356;1258;48174;188;140;32272;288;14356;1258;48174;188;140;32272;288;14356;1258;48174;148;100;
3130;3 ms;97;48271;0;15;19527;12592;14916;1139;48174;3743;2816;30671;1448;14916;1139;48174;908;600;31099;1020;14916;1139;48174;322;172;31324;795;14916;1139;48174;254;138;31549;570;14916;1139;48174;242;132;31624;495;14916;1139;48174;116;68;31699;420;14916;1139;48174;116;68;31774;345;14916;1139;48174;116;68;31849;270;14916;1139;48174;116;68;31849;270;14916;1139;48174;116;68;
3160;3 ms;97;48271;0;15;19524;11874;15484;1292;48174;4471;3192;30003;1395;15484;1292;48174;652;340;30378;1020;15484;1292;48174;120;72;30603;795;15484;1292;48174;190;142;30828;570;15484;1292;48174;184;136;30903;495;15484;1292;48174;120;72;30978;420;15484;1292;48174;120;72;31053;345;15484;1292;48174;120;72;31128;270;15484;1292;48174;120;72;31128;270;15484;1292;48174;120;72;
3190;3 ms;97;48271;0;14;19416;11789;15860;1109;48174;4013;3028;29903;1302;15860;1109;48174;132;84;30253;952;15860;1109;48174;132;84;30463;742;15860;1109;48174;132;84;30673;532;15860;1109;48174;250;144;30743;462;15860;1109;48174;288;188;30813;392;15860;1109;48174;216;168;30883;322;15860;1109;48174;196;148;30953;252;15860;1109;48174;166;118;30953;252;15860;1109;48174;140;92;
3220;3 ms;97;48271;0;14;19478;11078;16550;1068;48174;3459;2660;29254;1302;16550;1068;48174;796;620;29604;952;16550;1068;48174;550;400;29814;742;16550;1068;48174;492;376;30024;532;16550;1068;48174;394;284;30094;462;16550;1068;48174;140;92;30164;392;16550;1068;48174;180;132;30234;322;16550;1068;48174;204;156;30304;252;16550;1068;48174;204;156;30304;252;16550;1068;48174;164;116;
