voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_idle_state;I_layer11_pwr_apprx_compute_state;I_layer11_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_poweron_state;nv_reg11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_idle_state;I_layer12_pwr_apprx_compute_state;I_layer12_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_poweron_state;nv_reg12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_save_state;
3010;3 ms;97;48271;0;16;20902;12723;13409;1140;48174;3571;2540;31977;1648;13409;1140;48174;140;92;32617;1008;13409;1140;48174;240;192;32777;848;13409;1140;48174;234;186;32857;768;13409;1140;48174;488;372;33017;608;13409;1140;48174;578;468;33097;528;13409;1140;48174;268;220;33097;528;13409;1140;48174;140;92;33177;448;13409;1140;48174;140;92;33257;368;13409;1140;48174;140;92;33337;288;13409;1140;48174;258;182;33337;288;13409;1140;48174;235;165;
3040;3 ms;97;48271;0;15;20791;12592;13636;1155;48174;2956;2100;31735;1648;13636;1155;48174;858;692;32375;1008;13636;1155;48174;330;180;32535;848;13636;1155;48174;572;436;32615;768;13636;1155;48174;702;582;32775;608;13636;1155;48174;252;204;32879;504;13636;1155;48174;242;136;32888;495;13636;1155;48174;230;130;32963;420;13636;1155;48174;124;76;33038;345;13636;1155;48174;124;76;33113;270;13636;1155;48174;124;76;33113;270;13636;1155;48174;124;76;
3100;3 ms;97;48271;0;14;20546;11805;14444;1379;48174;4180;2924;30806;1545;14444;1379;48174;486;316;31406;945;14444;1379;48174;324;276;31556;795;14444;1379;48174;482;346;31631;720;14444;1379;48174;340;220;31781;570;14444;1379;48174;120;72;31888;463;14444;1379;48174;120;72;31889;462;14444;1379;48174;120;72;31959;392;14444;1379;48174;120;72;32029;322;14444;1379;48174;120;72;32099;252;14444;1379;48174;120;72;32099;252;14444;1379;48174;120;72;
3130;3 ms;97;48271;0;14;20298;11744;15000;1132;48174;3727;2724;30600;1442;15000;1132;48174;370;200;31160;882;15000;1132;48174;124;76;31300;742;15000;1132;48174;304;256;31370;672;15000;1132;48174;272;224;31510;532;15000;1132;48174;124;76;31580;462;15000;1132;48174;420;256;31580;462;15000;1132;48174;440;288;31650;392;15000;1132;48174;168;120;31720;322;15000;1132;48174;124;76;31790;252;15000;1132;48174;124;76;31790;252;15000;1132;48174;124;76;
3160;3 ms;97;48271;0;14;20350;11404;15270;1150;48174;2921;2120;30312;1442;15270;1150;48174;614;448;30872;882;15270;1150;48174;542;392;31012;742;15270;1150;48174;584;448;31082;672;15270;1150;48174;426;306;31222;532;15270;1150;48174;132;84;31292;462;15270;1150;48174;132;84;31292;462;15270;1150;48174;132;84;31362;392;15270;1150;48174;172;124;31432;322;15270;1150;48174;254;178;31502;252;15270;1150;48174;292;212;31502;252;15270;1150;48174;180;132;
3190;3 ms;97;48271;0;13;20154;10935;15788;1297;48174;4407;3124;29750;1339;15788;1297;48174;610;440;30270;819;15788;1297;48174;324;276;30400;689;15788;1297;48174;214;166;30465;624;15788;1297;48174;120;72;30595;494;15788;1297;48174;120;72;30660;429;15788;1297;48174;180;132;30660;429;15788;1297;48174;174;126;30725;364;15788;1297;48174;120;72;30790;299;15788;1297;48174;120;72;30855;234;15788;1297;48174;120;72;30855;234;15788;1297;48174;120;72;
3250;3 ms;97;48271;0;12;20155;10231;16544;1244;48174;3590;2532;29047;1339;16544;1244;48174;252;204;29567;819;16544;1244;48174;236;188;29697;689;16544;1244;48174;421;354;29781;605;16544;1244;48174;443;376;29930;456;16544;1244;48174;132;84;29990;396;16544;1244;48174;192;144;29990;396;16544;1244;48174;186;138;30050;336;16544;1244;48174;290;204;30110;276;16544;1244;48174;266;186;30170;216;16544;1244;48174;132;84;30170;216;16544;1244;48174;132;84;
3280;3 ms;97;48271;0;12;20082;9918;16890;1284;48174;4811;3540;28764;1236;16890;1284;48174;368;320;29244;756;16890;1284;48174;228;180;29364;636;16890;1284;48174;124;76;29424;576;16890;1284;48174;194;146;29544;456;16890;1284;48174;188;140;29604;396;16890;1284;48174;124;76;29604;396;16890;1284;48174;124;76;29664;336;16890;1284;48174;124;76;29724;276;16890;1284;48174;124;76;29784;216;16890;1284;48174;124;76;29784;216;16890;1284;48174;124;76;
3310;3 ms;97;48271;0;12;20136;9523;17508;1007;48174;4199;3336;28423;1236;17508;1007;48174;376;328;28903;756;17508;1007;48174;326;180;29023;636;17508;1007;48174;408;268;29083;576;17508;1007;48174;128;80;29203;456;17508;1007;48174;128;80;29263;396;17508;1007;48174;128;80;29263;396;17508;1007;48174;128;80;29323;336;17508;1007;48174;168;120;29383;276;17508;1007;48174;220;144;29443;216;17508;1007;48174;194;114;29443;216;17508;1007;48174;128;80;
3340;3 ms;97;48271;0;11;19838;8797;18118;1421;48174;4397;3344;27502;1133;18118;1421;48174;505;336;27942;693;18118;1421;48174;235;188;28052;583;18118;1421;48174;319;272;28107;528;18118;1421;48174;209;162;28217;418;18118;1421;48174;253;148;28272;363;18118;1421;48174;321;212;28272;363;18118;1421;48174;239;192;28327;308;18118;1421;48174;179;132;28382;253;18118;1421;48174;165;118;28437;198;18118;1421;48174;169;122;28437;198;18118;1421;48174;135;88;
3400;3 ms;97;48271;0;10;19746;8318;17708;2402;48174;4188;3136;27034;1030;17708;2402;48174;494;452;27434;630;17708;2402;48174;330;288;27534;530;17708;2402;48174;398;268;27584;480;17708;2402;48174;342;228;27684;380;17708;2402;48174;190;148;27734;330;17708;2402;48174;186;144;27734;330;17708;2402;48174;180;138;27784;280;17708;2402;48174;166;124;27834;230;17708;2402;48174;160;118;27884;180;17708;2402;48174;126;84;27884;180;17708;2402;48174;126;84;
3430;3 ms;97;48271;0;9;19654;7870;18226;2424;48174;4162;3316;26494;1030;18226;2424;48174;1350;1068;26894;630;18226;2424;48174;328;184;26994;530;18226;2424;48174;212;170;27044;480;18226;2424;48174;196;154;27144;380;18226;2424;48174;182;140;27212;312;18226;2424;48174;186;144;27227;297;18226;2424;48174;220;130;27272;252;18226;2424;48174;208;124;27317;207;18226;2424;48174;122;80;27362;162;18226;2424;48174;122;80;27362;162;18226;2424;48174;122;80;
