voltage_trace: voltage_traces/voltage_trace3.txt
Fixed time simulation start ######################################
hazard_threshold_val;backup_period_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;1031;3 ms;191;65507;4585;45;16947;43595;1928;2846;65316;3270;1088;58757;1785;1928;2846;65316;320;122;59172;1370;1928;2846;65316;296;98;59700;842;1928;2846;65316;290;92;
2500;1053;3 ms;191;65507;4585;52;17329;43413;1728;2846;65316;3542;1360;58869;1873;1728;2846;65316;278;80;59250;1492;1728;2846;65316;278;80;59804;938;1728;2846;65316;278;80;
2500;1090;3 ms;191;65507;4585;53;17473;43032;1965;2846;65316;3422;1364;58690;1815;1965;2846;65316;486;192;58921;1584;1965;2846;65316;414;152;59479;1026;1965;2846;65316;310;112;
2500;1142;3 ms;191;65507;4585;62;18042;42827;1601;2846;65316;3390;1216;58823;2046;1601;2846;65316;482;180;59133;1736;1601;2846;65316;270;72;59753;1116;1601;2846;65316;270;72;
2500;1208;3 ms;191;65507;4585;48;16998;43696;1776;2846;65316;3398;1220;58964;1730;1776;2846;65316;376;126;59267;1427;1776;2846;65316;270;72;59823;871;1776;2846;65316;270;72;
2500;1290;3 ms;191;65507;4585;61;19481;41286;1703;2846;65316;2882;824;58679;2088;1703;2846;65316;304;106;59053;1714;1703;2846;65316;288;90;59669;1098;1703;2846;65316;254;56;
2500;1386;3 ms;191;65507;4585;65;17996;43089;1385;2846;65316;2824;1020;59104;1981;1385;2846;65316;1490;168;59337;1748;1385;2846;65316;456;98;59897;1188;1385;2846;65316;262;64;
2500;1497;3 ms;191;65507;4585;59;17792;43673;1005;2846;65316;2804;684;59485;1980;1005;2846;65316;340;94;59795;1670;1005;2846;65316;308;78;60403;1062;1005;2846;65316;242;44;
2500;1623;3 ms;191;65507;4585;61;17923;43803;744;2846;65316;2606;548;59713;2013;744;2846;65316;380;86;60012;1714;744;2846;65316;332;70;60628;1098;744;2846;65316;234;36;
2500;1763;3 ms;191;65507;4585;40;16068;45354;1048;2846;65316;2862;680;60064;1358;1048;2846;65316;238;40;60274;1148;1048;2846;65316;238;40;60702;720;1048;2846;65316;238;40;
2500;1919;3 ms;191;65507;4585;34;31527;30497;446;2846;65316;1912;288;60774;1250;446;2846;65316;616;82;61024;1000;446;2846;65316;230;32;61394;630;446;2846;65316;230;32;
2500;2089;3 ms;191;65507;4585;59;17789;43919;762;2846;65316;2790;608;59701;2007;762;2846;65316;288;90;60056;1652;762;2846;65316;234;36;60646;1062;762;2846;65316;234;36;
2500;2274;3 ms;191;65507;4585;55;17484;44290;696;2846;65316;2730;548;59887;1887;696;2846;65316;284;86;60201;1573;696;2846;65316;268;70;60768;1006;696;2846;65316;234;36;
2500;2473;3 ms;191;65507;4585;2;60446;2292;376;2202;65316;222;24;62672;66;376;2202;65316;222;24;62682;56;376;2202;65316;222;24;62702;36;376;2202;65316;222;24;
2500;2688;3 ms;191;65507;4585;3;60069;2416;629;2202;65316;210;12;62386;99;629;2202;65316;210;12;62401;84;629;2202;65316;210;12;62431;54;629;2202;65316;210;12;
2500;2917;3 ms;191;65507;4585;3;60627;2443;44;2202;65316;202;4;62971;99;44;2202;65316;202;4;62986;84;44;2202;65316;202;4;63016;54;44;2202;65316;202;4;
2500;3161;3 ms;191;65507;4585;3;60539;2443;132;2202;65316;210;12;62883;99;132;2202;65316;210;12;62898;84;132;2202;65316;210;12;62928;54;132;2202;65316;210;12;
2500;3420;3 ms;191;65507;4585;3;60611;2443;60;2202;65316;214;16;62955;99;60;2202;65316;214;16;62970;84;60;2202;65316;214;16;63000;54;60;2202;65316;214;16;
2500;3694;3 ms;191;65507;4585;3;60639;2443;32;2202;65316;214;16;62983;99;32;2202;65316;214;16;62998;84;32;2202;65316;214;16;63028;54;32;2202;65316;214;16;
2500;3983;3 ms;191;65507;4585;3;60639;2443;32;2202;65316;214;16;62983;99;32;2202;65316;214;16;62998;84;32;2202;65316;214;16;63028;54;32;2202;65316;214;16;
Fixed time simulation end ########################################

