voltage_trace: voltage_traces/voltage_trace4.txt
Fixed time simulation start ######################################
hazard_threshold_val;backup_period_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2400;4604;3 ms;7;15536;0;2;13775;1701;16;38;15530;32;8;15410;66;16;38;15530;32;8;15420;56;16;38;15530;32;8;15440;36;16;38;15530;32;8;
2400;4937;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;5285;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;5647;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;6024;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;6416;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;6823;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;7245;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;7681;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;8133;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;8599;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;9079;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;9575;3 ms;7;15536;0;2;13783;1701;8;38;15530;28;4;15418;66;8;38;15530;28;4;15428;56;8;38;15530;28;4;15448;36;8;38;15530;28;4;
2400;10086;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;10611;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;11151;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;11706;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;12275;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;12860;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
2400;13459;3 ms;7;15536;0;2;13791;1701;0;38;15530;24;0;15426;66;0;38;15530;24;0;15436;56;0;38;15530;24;0;15456;36;0;38;15530;24;0;
Fixed time simulation end ########################################

