voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;backup_period_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;
2500;3264;3 ms;97;48271;0;50;3634;43190;570;780;48174;1124;476;45156;1668;570;780;48174;328;82;45396;1428;570;780;48174;118;28;45912;912;570;780;48174;118;28;
2500;3494;3 ms;97;48271;0;51;3635;43183;576;780;48174;1192;544;45201;1617;576;780;48174;316;82;45380;1438;576;780;48174;252;66;45888;930;576;780;48174;122;32;
2500;3735;3 ms;97;48271;0;51;3639;43307;510;718;48174;1062;476;45230;1716;510;718;48174;118;28;45490;1456;510;718;48174;118;28;46016;930;510;718;48174;118;28;
2500;3987;3 ms;97;48271;0;47;3633;43391;432;718;48174;994;408;45374;1650;432;718;48174;164;74;45630;1394;432;718;48174;148;58;46163;861;432;718;48174;114;24;
2500;4250;3 ms;97;48271;0;51;3633;43463;360;718;48174;926;340;45380;1716;360;718;48174;110;20;45640;1456;360;718;48174;110;20;46166;930;360;718;48174;110;20;
2500;4525;3 ms;97;48271;0;51;3633;43463;360;718;48174;926;340;45380;1716;360;718;48174;110;20;45640;1456;360;718;48174;110;20;46166;930;360;718;48174;110;20;
2500;4811;3 ms;97;48271;0;49;3632;43464;360;718;48174;926;340;45414;1682;360;718;48174;110;20;45696;1400;360;718;48174;110;20;46202;894;360;718;48174;110;20;
2500;5107;3 ms;97;48271;0;51;3633;43419;404;718;48174;858;272;45336;1716;404;718;48174;106;16;45596;1456;404;718;48174;106;16;46122;930;404;718;48174;106;16;
2500;5416;3 ms;97;48271;0;50;3631;43537;288;718;48174;858;272;45482;1686;288;718;48174;106;16;45740;1428;288;718;48174;106;16;46256;912;288;718;48174;106;16;
2500;5735;3 ms;97;48271;0;51;3629;43611;216;718;48174;790;204;45524;1716;216;718;48174;102;12;45784;1456;216;718;48174;102;12;46310;930;216;718;48174;102;12;
Fixed time simulation end ########################################

