voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_idle_state;I_layer11_pwr_apprx_compute_state;I_layer11_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_poweron_state;nv_reg11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_idle_state;I_layer12_pwr_apprx_compute_state;I_layer12_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_poweron_state;nv_reg12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_save_state;
2650;3 ms;97;48271;0;23;15917;18458;11378;2421;48174;7578;5688;32006;2369;11378;2421;48174;428;356;33386;989;11378;2421;48174;580;508;33386;989;11378;2421;48174;766;694;33501;874;11378;2421;48174;832;760;33501;874;11378;2421;48174;876;688;33616;759;11378;2421;48174;756;560;33616;759;11378;2421;48174;418;346;33731;644;11378;2421;48174;304;232;33846;529;11378;2421;48174;290;218;33961;414;11378;2421;48174;294;222;33961;414;11378;2421;48174;260;188;
2680;3 ms;97;48271;0;23;16161;18109;11782;2122;48174;7740;6260;31901;2369;11782;2122;48174;462;396;33281;989;11782;2122;48174;852;552;33281;989;11782;2122;48174;870;588;33396;874;11782;2122;48174;288;222;33396;874;11782;2122;48174;214;148;33511;759;11782;2122;48174;214;148;33511;759;11782;2122;48174;214;148;33626;644;11782;2122;48174;214;148;33741;529;11782;2122;48174;214;148;33856;414;11782;2122;48174;214;148;33856;414;11782;2122;48174;214;148;
2710;3 ms;97;48271;0;22;16402;18101;12269;1402;48174;6942;5872;32225;2278;12269;1402;48174;1182;888;33557;946;12269;1402;48174;1142;836;33557;946;12269;1402;48174;224;164;33667;836;12269;1402;48174;224;164;33667;836;12269;1402;48174;224;164;33777;726;12269;1402;48174;224;164;33777;726;12269;1402;48174;224;164;33887;616;12269;1402;48174;264;204;33997;506;12269;1402;48174;288;228;34107;396;12269;1402;48174;288;228;34107;396;12269;1402;48174;256;196;
2740;3 ms;97;48271;0;22;16432;17633;12154;1955;48174;6528;5260;31799;2266;12154;1955;48174;390;248;33119;946;12154;1955;48174;224;164;33119;946;12154;1955;48174;294;234;33229;836;12154;1955;48174;506;378;33229;836;12154;1955;48174;652;472;33339;726;12154;1955;48174;716;536;33339;726;12154;1955;48174;488;376;33449;616;12154;1955;48174;348;288;33559;506;12154;1955;48174;322;262;33669;396;12154;1955;48174;288;228;33669;396;12154;1955;48174;250;190;
2770;3 ms;97;48271;0;21;16249;16720;13392;1813;48174;6322;5256;30806;2163;13392;1813;48174;386;244;32066;903;13392;1813;48174;300;240;32066;903;13392;1813;48174;294;234;32171;798;13392;1813;48174;358;230;32171;798;13392;1813;48174;464;284;32276;693;13392;1813;48174;704;524;32276;693;13392;1813;48174;790;630;32381;588;13392;1813;48174;478;376;32486;483;13392;1813;48174;284;224;32591;378;13392;1813;48174;250;190;32591;378;13392;1813;48174;244;184;
2800;3 ms;97;48271;0;20;16053;16404;14054;1663;48174;3654;2996;30397;2060;14054;1663;48174;2264;1884;31597;860;14054;1663;48174;2294;1988;31597;860;14054;1663;48174;1034;974;31697;760;14054;1663;48174;380;320;31697;760;14054;1663;48174;232;172;31797;660;14054;1663;48174;410;292;31797;660;14054;1663;48174;392;280;31897;560;14054;1663;48174;388;252;31997;460;14054;1663;48174;364;240;32097;360;14054;1663;48174;232;172;32097;360;14054;1663;48174;232;172;
2830;3 ms;97;48271;0;19;15942;15684;13956;2592;48174;5870;4400;29669;1957;13956;2592;48174;434;292;30809;817;13956;2592;48174;184;124;30809;817;13956;2592;48174;184;124;30904;722;13956;2592;48174;254;194;30904;722;13956;2592;48174;248;188;30999;627;13956;2592;48174;482;364;30999;627;13956;2592;48174;602;490;31094;532;13956;2592;48174;394;296;31189;437;13956;2592;48174;280;188
2860;3 ms;97;48271;0;18;15716;14953;14842;2663;48174;5624;3952;28755;1914;14842;2663;48174;570;428;29895;774;14842;2663;48174;152;92;29895;774;14842;2663;48174;152;92;29985;684;14842;2663;48174;152;92;29985;684;14842;2663;48174;152;92;30075;594;14842;2663;48174;272;212;30075;594;14842;2663;48174;408;300;30165;504;14842;2663;48174;282;180;30255;414;14842;2663;48174;152;92;30345;324;14842;2663;48174;152;92;30345;324;14842;2663;48174;152;92;
2890;3 ms;97;48271;0;18;16409;14707;11416;5642;48174;4805;3344;29262;1854;11416;5642;48174;222;168;30342;774;11416;5642;48174;138;84;30342;774;11416;5642;48174;138;84;30432;684;11416;5642;48174;138;84;30432;684;11416;5642;48174;138;84;30522;594;11416;5642;48174;316;204;30522;594;11416;5642;48174;298;192;30612;504;11416;5642;48174;218;164;30702;414;11416;5642;48174;236;182;30792;324;11416;5642;48174;172;118;30792;324;11416;5642;48174;138;84;
2920;3 ms;97;48271;0;18;16555;14545;15356;1718;48174;3797;2744;29246;1854;15356;1718;48174;482;428;30326;774;15356;1718;48174;402;348;30326;774;15356;1718;48174;436;314;30416;684;15356;1718;48174;652;458;30416;684;15356;1718;48174;404;288;30506;594;15356;1718;48174;154;100;30506;594;15356;1718;48174;302;200;30596;504;15356;1718;48174;284;188;30686;414;15356;1718;48174;154;100;30776;324;15356;1718;48174;154;100;30776;324;15356;1718;48174;154;100;
